event_name,start_time,end_time,date,start_datetime,end_datetime
R in Pharma with ProCogia - Pharma X-Session,12:00 PM,3:00 PM,2021-01-19,2021-01-19T17:00:00Z,2021-01-19T20:00:00Z
Powering Enterprise Analytics at Scale Using Teradata Vantage & RStudio - Teradata X-Session 1,4:00 PM,6:30 PM,2021-01-19,2021-01-19T21:00:00Z,2021-01-19T23:30:00Z
Mastering Shiny with Appsilon: from Development to Deployment - Shiny X-Session,9:00 AM,11:05 AM,2021-01-20,2021-01-20T14:00:00Z,2021-01-20T16:05:00Z
Powering Enterprise Analytics at Scale Using Teradata Vantage & RStudio - Teradata X-Session 2,4:00 PM,6:30 PM,2021-01-20,2021-01-20T21:00:00Z,2021-01-20T23:30:00Z
Maintaining the house the tidyverse built - Session 1,11:00 AM,11:33 AM,2021-01-21,2021-01-21T16:00:00Z,2021-01-21T16:33:00Z
Q&A: Hadley Wickham - Session 1,11:33 AM,12:18 PM,2021-01-21,2021-01-21T16:33:00Z,2021-01-21T17:18:00Z
Accessible Data Science Beyond Visual Models: Non-Visual Interactions with R and RStudio Packages - Session 1,1:00 PM,1:19 PM,2021-01-21,2021-01-21T18:00:00Z,2021-01-21T18:19:00Z
Always look on the bright side of plots - Session 1,1:00 PM,1:21 PM,2021-01-21,2021-01-21T18:00:00Z,2021-01-21T18:21:00Z
Bringing the Tidyverse to Python with Siuba - Session 1,1:00 PM,1:20 PM,2021-01-21,2021-01-21T18:00:00Z,2021-01-21T18:20:00Z
"A New Paradigm for Multifigure, Coordinate-Based Plotting in R - Session 1",1:19 PM,1:33 PM,2021-01-21,2021-01-21T18:19:00Z,2021-01-21T18:33:00Z
R & Python: Going Steady - Session 1,1:19 PM,1:34 PM,2021-01-21,2021-01-21T18:19:00Z,2021-01-21T18:34:00Z
Starting an R Book Club: Cooking Up Friendships in Isolation - Session 1,1:21 PM,1:21 PM,2021-01-21,2021-01-21T18:21:00Z,2021-01-21T18:21:00Z
Discussion: Learning 1 - Session 1,1:29 PM,1:59 PM,2021-01-21,2021-01-21T18:29:00Z,2021-01-21T18:59:00Z
Discussion: Visualisation 1 - Session 1,1:33 PM,1:59 PM,2021-01-21,2021-01-21T18:33:00Z,2021-01-21T18:59:00Z
Discussion: Language interop 1 - Session 1,1:34 PM,1:59 PM,2021-01-21,2021-01-21T18:34:00Z,2021-01-21T18:59:00Z
Art Lessons: One Year as RStudio’s Artist-in-Residence - Session 1,2:00 PM,2:19 PM,2021-01-21,2021-01-21T19:00:00Z,2021-01-21T19:19:00Z
Using pins with Python and JavaScript - Session 1,2:00 PM,2:19 PM,2021-01-21,2021-01-21T19:00:00Z,2021-01-21T19:19:00Z
Trial and Error in Data Viz at the ACLU - Session 1,2:00 PM,2:16 PM,2021-01-21,2021-01-21T19:00:00Z,2021-01-21T19:16:00Z
Racial Equity Dashboard: Unpacking Systemic Inequity - Session 1,2:16 PM,2:21 PM,2021-01-21,2021-01-21T19:16:00Z,2021-01-21T19:21:00Z
The dynamic duo: SQL & R - Session 1,2:19 PM,2:36 PM,2021-01-21,2021-01-21T19:19:00Z,2021-01-21T19:36:00Z
Aesthetically automated figure production - Session 1,2:19 PM,2:39 PM,2021-01-21,2021-01-21T19:19:00Z,2021-01-21T19:39:00Z
Your R is My R too:  Reflections on creating the Mi-R community - Session 1,2:20 PM,2:25 PM,2021-01-21,2021-01-21T19:20:00Z,2021-01-21T19:25:00Z
An easy and friendly way to build your multilingual website - Session 1,2:25 PM,2:30 PM,2021-01-21,2021-01-21T19:25:00Z,2021-01-21T19:30:00Z
Making .pot-ery with R: Translations in R Packages - Session 1,2:30 PM,2:35 PM,2021-01-21,2021-01-21T19:30:00Z,2021-01-21T19:35:00Z
Discussion: Visualisation 2 - Session 1,2:34 PM,2:59 PM,2021-01-21,2021-01-21T19:34:00Z,2021-01-21T19:59:00Z
Discussion: Language interop 2 - Session 1,2:37 PM,2:59 PM,2021-01-21,2021-01-21T19:37:00Z,2021-01-21T19:59:00Z
Discussion: Learning 2 - Session 1,2:38 PM,2:58 PM,2021-01-21,2021-01-21T19:38:00Z,2021-01-21T19:58:00Z
Reporting on and visualising the pandemic - Session 1,3:00 PM,3:40 PM,2021-01-21,2021-01-21T20:00:00Z,2021-01-21T20:40:00Z
Q&A: John Burn-Murdoch - Session 1,3:40 PM,4:20 PM,2021-01-21,2021-01-21T20:40:00Z,2021-01-21T21:20:00Z
oRganization: How to make internal R packages part of your team - Session 1,5:00 PM,5:19 PM,2021-01-21,2021-01-21T22:00:00Z,2021-01-21T22:19:00Z
Making the jump from learning to applying: R training and documentation for different levels of expertise - Session 1,5:00 PM,5:22 PM,2021-01-21,2021-01-21T22:00:00Z,2021-01-21T22:22:00Z
What's new in tidymodels? - Session 1,5:00 PM,5:16 PM,2021-01-21,2021-01-21T22:00:00Z,2021-01-21T22:16:00Z
Using R to Up Your Experimentation Game - Session 1,5:16 PM,5:28 PM,2021-01-21,2021-01-21T22:16:00Z,2021-01-21T22:28:00Z
You're Already Ready: Zen and the Art of R Package Development - Session 1,5:19 PM,5:34 PM,2021-01-21,2021-01-21T22:19:00Z,2021-01-21T22:34:00Z
"On programming, teaching, and building interactive tutorials with learnr:: - Session 1",5:22 PM,5:39 PM,2021-01-21,2021-01-21T22:22:00Z,2021-01-21T22:39:00Z
Discussion: Modelling 1 - Session 1,5:30 PM,6:00 PM,2021-01-21,2021-01-21T22:30:00Z,2021-01-21T23:00:00Z
Discussion: Package dev 1 - Session 1,5:34 PM,5:59 PM,2021-01-21,2021-01-21T22:34:00Z,2021-01-21T22:59:00Z
Discussion: Teaching 1 - Session 1,5:39 PM,5:59 PM,2021-01-21,2021-01-21T22:39:00Z,2021-01-21T22:59:00Z
"Fairness and Data Science: Failures, Factors, and Futures - Session 1",6:00 PM,6:23 PM,2021-01-21,2021-01-21T23:00:00Z,2021-01-21T23:23:00Z
Monitoring health and impact of open-source projects - Session 1,6:00 PM,6:20 PM,2021-01-21,2021-01-21T23:00:00Z,2021-01-21T23:20:00Z
Feedback at scale - Session 1,6:00 PM,6:20 PM,2021-01-21,2021-01-21T23:00:00Z,2021-01-21T23:20:00Z
Make a package - Make some friends - Session 1,6:20 PM,6:24 PM,2021-01-21,2021-01-21T23:20:00Z,2021-01-21T23:24:00Z
"How to do things with words: learning to program in R with a ""communicative approach"" - Session 1",6:20 PM,6:40 PM,2021-01-21,2021-01-21T23:20:00Z,2021-01-21T23:40:00Z
"tidymodels/stacks, Or, In Preparation for Pesto: A Grammar for Stacked Ensemble Modeling - Session 1",6:23 PM,6:27 PM,2021-01-21,2021-01-21T23:23:00Z,2021-01-21T23:27:00Z
Using formr to create R-powered surveys with individualized feedback - Session 1,6:25 PM,6:29 PM,2021-01-21,2021-01-21T23:25:00Z,2021-01-21T23:29:00Z
Using Guided Simulation Exercises to Teach Data Science with R - Session 1,6:27 PM,6:31 PM,2021-01-21,2021-01-21T23:27:00Z,2021-01-21T23:31:00Z
Towards an integrated {verse}: lessons learned developing a library of validated packages - Session 1,6:30 PM,6:34 PM,2021-01-21,2021-01-21T23:30:00Z,2021-01-21T23:34:00Z
How I became a Data Composer – examples of simulated datasets that bring value to a data-driven company - Session 1,6:32 PM,6:36 PM,2021-01-21,2021-01-21T23:32:00Z,2021-01-21T23:36:00Z
The Power of Great Datasets - Session 1,6:35 PM,6:39 PM,2021-01-21,2021-01-21T23:35:00Z,2021-01-21T23:39:00Z
Categorical Embeddings: New Ways to Simplify Complex Data - Session 1,6:37 PM,6:41 PM,2021-01-21,2021-01-21T23:37:00Z,2021-01-21T23:41:00Z
Discussion: Teaching 2 - Session 1,6:40 PM,7:00 PM,2021-01-21,2021-01-21T23:40:00Z,2021-01-22T00:00:00Z
Discussion: Package dev 2 - Session 1,6:40 PM,6:40 PM,2021-01-21,2021-01-21T23:40:00Z,2021-01-21T23:40:00Z
Discussion: Modelling 2 - Session 1,6:42 PM,6:59 PM,2021-01-21,2021-01-21T23:42:00Z,2021-01-21T23:59:00Z
Your Public Garden - Session 1,7:00 PM,7:40 PM,2021-01-21,2021-01-22T00:00:00Z,2021-01-22T00:40:00Z
Q&A: Vicki Boykis - Session 1,7:40 PM,8:20 PM,2021-01-21,2021-01-22T00:40:00Z,2021-01-22T01:20:00Z
Introducing xrprof: A New Way to Profile R - Session 1,9:00 PM,9:18 PM,2021-01-21,2021-01-22T02:00:00Z,2021-01-22T02:18:00Z
The Opioid Files: Turning big pharmacy data over to the public - Session 1,9:00 PM,9:18 PM,2021-01-21,2021-01-22T02:00:00Z,2021-01-22T02:18:00Z
Not The App We Deserve. The App We Need: Putting a GMP Shiny App into Production - Session 1,9:00 PM,9:20 PM,2021-01-21,2021-01-22T02:00:00Z,2021-01-22T02:20:00Z
plumber + future: Async Web APIs - Session 1,9:18 PM,9:26 PM,2021-01-21,2021-01-22T02:18:00Z,2021-01-22T02:26:00Z
rKenyaCensus Package - Session 1,9:18 PM,9:28 PM,2021-01-21,2021-01-22T02:18:00Z,2021-01-22T02:28:00Z
How we made the switch: a case study on automating a complex report. - Session 1,9:20 PM,9:32 PM,2021-01-21,2021-01-22T02:20:00Z,2021-01-22T02:32:00Z
Making Shiny apps faster with caching - Session 1,9:26 PM,9:31 PM,2021-01-21,2021-01-22T02:26:00Z,2021-01-22T02:31:00Z
Discussion: Data for good 1 - Session 1,9:29 PM,9:59 PM,2021-01-21,2021-01-22T02:29:00Z,2021-01-22T02:59:00Z
Discussion: Programming 1 - Session 1,9:31 PM,9:31 PM,2021-01-21,2021-01-22T02:31:00Z,2021-01-22T02:31:00Z
Discussion: Organisational tooling 1 - Session 1,9:33 PM,9:59 PM,2021-01-21,2021-01-22T02:33:00Z,2021-01-22T02:59:00Z
Humanitarian Data Science with R - Session 1,10:00 PM,10:20 PM,2021-01-21,2021-01-22T03:00:00Z,2021-01-22T03:20:00Z
Bigger Data With Ease Using Apache Arrow - Session 1,10:00 PM,10:19 PM,2021-01-21,2021-01-22T03:00:00Z,2021-01-22T03:19:00Z
From Zero to Hero: Best practices for setting up Rstudio Team in the Cloud - Session 1,10:00 PM,10:17 PM,2021-01-21,2021-01-22T03:00:00Z,2021-01-22T03:17:00Z
